id	work_id	kind	source_page_url	source_media_url	local_path	derivative_path	width	height	mime_type	bytes	sha256	credit	rights_status	archive_status	failure_reason
img-daito-manabe--riot-please-a-ha--2004--001	daito-manabe--riot-please-a-ha--2004	installation_view	https://daito.ws/en/archive/riot-please/	https://daito.ws/assets/archive-media/riot-please/01-1b09131158-display.webp?v=40cac823db	02_images/originals/daito-manabe--riot-please-a-ha--2004/001.webp	02_images/derivatives/daito-manabe--riot-please-a-ha--2004/001.webp	615	500	image/webp	34834	40cac823db7e6bd4ebbd0acb91ee1fc20a3ac10e092bcd68a84c5f9cc828aaca	Studio Daito Manabe archive; photographer not stated	needs_review	downloaded	
img-daito-manabe--electric-stimulus-to-face--2008--001	daito-manabe--electric-stimulus-to-face--2008	performance_view	https://daito.ws/en/archive/electricstimulustoface/	https://daito.ws/assets/archive-media/electricstimulustoface/electricstimulusto-face-1-1cb85cd35f-display.webp?v=5950cd2a21	02_images/originals/daito-manabe--electric-stimulus-to-face--2008/001.webp	02_images/derivatives/daito-manabe--electric-stimulus-to-face--2008/001.webp	1200	630	image/webp	34386	5950cd2a21ea7b701e4298f7e481a80bdd39806e27c43d375f7be1a91cf42242	Studio Daito Manabe archive; photographer not stated	needs_review	downloaded	
img-daito-manabe--scorelight--2009--001	daito-manabe--scorelight--2009	audience_interaction	https://daito.ws/en/archive/scorelight/	https://daito.ws/assets/archive-media/scorelight/01-83935a7d60-display.webp?v=80fa6bb129	02_images/originals/daito-manabe--scorelight--2009/001.webp	02_images/derivatives/daito-manabe--scorelight--2009/001.webp	600	450	image/webp	19948	80fa6bb1298767f2a0617487ce87b0809d67aacb81905855999a023320cf4b03	Studio Daito Manabe archive; photographer not stated	needs_review	downloaded	
img-daito-manabe--particles--2011--001	daito-manabe--particles--2011	installation_view	https://daito.ws/en/archive/particles/	https://daito.ws/assets/archive-media/particles/01-fde28ff461-display.webp?v=0f28148622	02_images/originals/daito-manabe--particles--2011/001.webp	02_images/derivatives/daito-manabe--particles--2011/001.webp	1000	667	image/webp	37654	0f28148622c332d862467e788adb078311b76355563eed0072bf66a68850ba05	Studio Daito Manabe archive; photographer not stated	needs_review	downloaded	
img-daito-manabe--perfume-global-site-project--2012--001	daito-manabe--perfume-global-site-project--2012	documentation	https://daito.ws/en/archive/perfume_globalsite/	https://daito.ws/assets/archive-media/perfume_globalsite/01-650cc9d507-display.webp?v=4eced5aa39	02_images/originals/daito-manabe--perfume-global-site-project--2012/001.webp	02_images/derivatives/daito-manabe--perfume-global-site-project--2012/001.webp	1600	945	image/webp	93910	4eced5aa390666afcb24e705b692ca60023e875f7ce81079e297abb67dce1673	Studio Daito Manabe archive; source project credits retained on page	needs_review	downloaded	
img-daito-manabe--fencing-tracking-and-visualization-system--2012--001	daito-manabe--fencing-tracking-and-visualization-system--2012	operating	https://daito.ws/projects/selected-works/fencing-tracking/en/	https://daito.ws/projects/selected-works/fencing-tracking/assets/hero-fencing-01.webp	02_images/originals/daito-manabe--fencing-tracking-and-visualization-system--2012/001.webp	02_images/derivatives/daito-manabe--fencing-tracking-and-visualization-system--2012/001.webp	1920	1080	image/webp	75946	f6c4fc37cdf65cf7dc6bc079acf13edd082b5f977a1e986ab34e8848f7cc4f68	Rhizomatiks Research / Studio Daito Manabe; photographer not stated	needs_review	downloaded	
img-daito-manabe--sensing-streams--2014--001	daito-manabe--sensing-streams--2014	installation_view	https://daito.ws/en/archive/sensing-streams/	https://daito.ws/assets/archive-media/sensing-streams/sensingstreams2022-v2.00_00_08_19.Still004-ff8b877bed-display.webp?v=377d16debf	02_images/originals/daito-manabe--sensing-streams--2014/001.webp	02_images/derivatives/daito-manabe--sensing-streams--2014/001.webp	1200	630	image/webp	19618	377d16debf5252756d1c4711b8dcc9022a1f376bec39c758d7a23ff9f522ecf1	Studio Daito Manabe archive; video still, photographer not stated	needs_review	downloaded	
img-daito-manabe--24-drones--2015--001	daito-manabe--24-drones--2015	performance_view	https://daito.ws/en/archive/elevenplay-rhizomatiks-research-3-dancers-and-24-drones/	https://daito.ws/assets/archive-media/elevenplay-rhizomatiks-research-3-dancers-and-24-drones/bg-00.webp?v=71f0849f2c	02_images/originals/daito-manabe--24-drones--2015/001.webp	02_images/derivatives/daito-manabe--24-drones--2015/001.webp	1888	1062	image/webp	52930	71f0849f2c97b8c54bc9c08589f4cb43fc5fb58f797cf3a9ec0f4d8cbd836309	ELEVENPLAY × Rhizomatiks Research; photographer not stated	needs_review	downloaded	
img-daito-manabe--bjork-quicksand-digital-livestreaming--2016--001	daito-manabe--bjork-quicksand-digital-livestreaming--2016	performance_view	https://daito.ws/en/archive/bjork-making-of-bjork-digital-livestreaming/	https://daito.ws/assets/archive-media/bjork-making-of-bjork-digital-livestreaming/Bjork.mainimage-1286a31518-display.webp?v=7b47bd62f0	02_images/originals/daito-manabe--bjork-quicksand-digital-livestreaming--2016/001.webp	02_images/derivatives/daito-manabe--bjork-quicksand-digital-livestreaming--2016/001.webp	580	290	image/webp	41572	7b47bd62f0e56868e8af480554d1d49463f8292dbeca7462b9b3d50a1bb68cb8	Studio Daito Manabe archive; related gallery images credit Santiago Felipe, hero credit not explicit	needs_review	downloaded	
img-daito-manabe--light-field-theater--2018--001	daito-manabe--light-field-theater--2018	installation_view	https://daito.ws/en/archive/light-field-theater/	https://daito.ws/assets/archive-media/light-field-theater/Light-Field-Theate-2018-6d30dabab8-display.webp?v=48808e0994	02_images/originals/daito-manabe--light-field-theater--2018/001.webp	02_images/derivatives/daito-manabe--light-field-theater--2018/001.webp	580	387	image/webp	5286	48808e099475366cca71d6d875c673947126dc371bf18a4d9e6317131b840a12	Photo © Hanayuki Higashi	needs_review	downloaded	
